sentence	label
`` however biohit estimates total net sales continue grow 2009 favourable trends net sales lead profit 2009 ''	1
`` 2009 fiskars ' cash flow operating activities amounted eur121m eur97m previous year ''	1
`` lithuania operating profit rose eur 190,000 eur 70,000 corresponding period 2005 ''	1
`` fourth quarter 2008 net sales increased 2 % eur 1,050.7 mn eur 1,027.0 mn fourth quarter 2007 ''	1
`` international sales rose 59.8 % eur 1,244.4 mn ''	1
net sales grew period x20ac 402 million $ 585us million x20ac 401 million 2006	1
net sales increased eur655m april june 2010 eur438m year earlier	1
`` net sales rose 25.5 % year-on-year eur59 .6 number chargers delivered went 41 % 65.9 million pieces ''	1
`` net sales totaled eur 93.6 mn eur 93.2 mn corresponding period 2005 ''	1
operating profit increased 145.1 % eur 8.3 mn eur 3.4 mn	1
operating profit margin increased 11.2 % 11.7 %	1
operating profit rose eur 3.11 mn eur 1.22 mn corresponding period 2009	1
operating profit rose eur 5mn eur 2.8 mn fourth quarter 2008	1
`` operating profit eur 24.5 mn eur 23.0 mn ''	1
`` ramirent 's net sales second quarterended june 30 euro 128.7 million u.s. $ 163 million 3.3-percent increase compared euro 124.6 million thesecond quarter last year ''	1
`` revenue grew 2 percent x20ac 580 million $ 743 million x20ac 569 million ''	1
`` ruukki 's delivery volumes selling prices showed favourable development company 's comparable net sales grew 50 % year-on-year eur647m ceo sakari tamminen said ''	1
`` company 's consolidated operating profit amounted eur 15.86 mn eur 4.14 mn year-on-year ''	1
department store division reported increase sales 4 per cent	1
fair value company 's investment properties grew eur 2.803 billion end march 2009 eur 2.691 million year ago	1
`` last quarter best quarter 2009 net sales operating margin rose 12.2 % ''	1
`` major breweries increased domestic beer sales 4.5 per cent last year 256.88 million litres 245.92 million litres 2004 ''	1
- operating profit rose 26.9 % eur 105.8 ( 83.4 ) million	1
21 october 2010 - finnish fishing tackle company rapala vmc corp ( hel : rap1v ) said today net profit rose eur18 .9 first nine months 2010 eur15 .1 period year earlier	1
`` according finnish metso minerals value company 's orders gone eur 1.9 bn 12 months ''	1
finnish bank +land reports operating profit rose eur 21.3 mn second quarter 2009 eur 6.1 mn corresponding period 2008	1
finnish financial group aktia 's operating profit 2009 increased eur 47.0 mn eur 6.6 mn 2008	1
finnish forest machinery manufacturer ponsse 's net sales grew eur 51.3 mn first quarter 2010 eur 37.5 mn corresponding period 2009	1
finnish kci konecranes raised net sales growth estimate 2006 25 % 35 %	1
`` according hkscan finland plan increase j+rvi-suomen portti 's net sales eur 80mn eur 100mn ''	1
`` advertising circulation revenues grew 3.4 % 0.4 % respectively ''	1
`` end march 2007 group 's order book eur 39.6 mn 42 % corresponding period 2006 ''	1
`` time profit company increased 10 % h1 reached ls 79,000 ''	1
`` operating profit net sales 12-month period increased respectively eur10 .5 eur28 .8 compared financial year 2004 ''	1
`` operating profit net sales 12-month period increased respectively eur20 .8 eur177 .7 compared financial year 2004 ''	1
`` operating profit net sales 12-month period increased respectively eur21 .5 eur196 .1 compared 2005 ''	1
`` operating profit net sales 12-month period increased respectively eur4 .7 eur26 .7 compared 2004 ''	1
`` operating profit net sales nine-month period increased respectively 26.6 % 3.4 % compared corresponding period 2006 ''	1
`` operating profit net sales six-month period increased respectively eur13 .8 eur143 .6 compared corresponding period 2007 ''	1
`` operating profit net sales six-month period increased respectively eur0 .4 eur3 .2 compared corresponding period 2005 ''	1
`` operating profit net sales six-month period increased respectively eur18 .1 eur127 .6 compared corresponding period 2006 ''	1
`` operating profit net sales six-month period increased respectively eur7 .5 eur655 .5 compared corresponding period 2005 ''	1
`` operating profit net sales three-month period increased respectively eur15 .1 eur131 .5 compared corresponding period 2005 ''	1
`` operating profit net sales three-month period increased respectively eur16 .0 eur139m compared corresponding quarter 2006 ''	1
`` operating profit sales three-month period increased respectively eur0 .3 eur13 .1 compared corresponding period 2005 ''	1
`` operating profit turnover nine-month period increased respectively eur2 .4 eur43 .8 compared corresponding period year ago ''	1
`` operating profit turnover six-month period increased respectively eur17 .6 eur1149 .9 compared corresponding period 2007 ''	1
`` operating profit turnover six-month period increased respectively eur0 .1 eur29 .0 compared corresponding period year ago ''	1
cargo volume increased approximately 5 %	1
`` comparable operating profit totaled eur 854mn eur 730mn 2004 ''	1
`` digia said consolidated net sales january-june 2010 eur67 .8 9.7 % period 2009 ( eur61 .9 ) ''	1
diluted earnings per share ( eps ) rose eur 0.29 eur 0.05	1
diluted earnings per share ( eps ) rose eur 0.52 versus eur 0.09	1
diluted earnings per share ( eps ) rose eur 1.05 eur 0.64	1
diluted earnings per share ( eps ) rose eur 3.68 eur 0.50	1
diluted eps rose eur3 .68 eur0 .50	1
ebit margin 1.4 % 5.1 %	1
`` eps continuing operations came 0.30 eur 0.17 ''	1
`` equity ratio 60.9 % compared 54.2 % third quarter 2007 net sales frozen foods business totaled eur 11.0 5 % third quarter 2006 ''	1
`` eur928 ,000 q1 2010 6 may 2010 - finnish textile clothing design company marimekko oyj ( hel : mmo1v ) said today net profit rose eur928 ,000 first quarter 2010 eur13 ,000 corresponding period year earlier ''	1
`` finland-based elcoteq se privately held provider electronics manufacturing services communications companies said thursday signed long-term manufacturing supply deal communications equipment company andrew corp ''	1
finnish cutlery hand tools maker fiskars oyj abp ( hel : fisas ) said today net profit rose eur 24.1 million ( usd 33.6 ) third quarter 2010 eur 17.9 million year earlier	1
finnish department store chain stockmann oyj abp net profit rose 39.8 mln euro ( $ 56.8 mln ) first nine months 2007 37.4 mln euro ( $ 53.4 mln ) period 2006	1
`` finnish lifting equipment maker konecranes oyj said july 30 2008 net profit rose 71.2 mln euro ( $ 111.1 mln ) first half 2008 57.1 mln euro ( $ 89.1 mln ) period 2007 ''	1
finnish metal industry solutions supplier outotec oyj net profit rose 50.4 mln euro ( $ 72.5 mln ) first nine months 2007 20.1 mln euro ( $ 28.9 mln ) period 2006	1
finnish metal products company componenta oyj net profit rose 26.1 mln euro ( $ 35.9 mln ) first quarter 2007 5.3 mln euro ( $ 7.3 mln ) period 2006	1
finnish office supplies computer accessories dealer beltton-group plc said net profit rose 1.3 mln euro ( $ 1.7 mln ) 2006 1.13 mln euro ( $ 1.5 mln ) 2005	1
`` finnish security privacy software solutions developer stonesoft oyj said january 7 2008 preliminary sales stonegate products grew 59 pct year-on-year 3.6 mln euro ( $ 5.3 mln ) fourth quarter 2007 ''	1
`` finnish silicon wafer technology company okmetic oyj ( omx helsinki : okm1v ) reported thursday ( 7 august ) operating profit eur5 .3 period january-june 2008 eur3 .3 corresponding period 2007 ''	1
finnish software developer done solutions oyj said net profit increased 3.5 mln euro ( $ 4.6 mln ) 2006 2.3 mln euro ( $ 3.0 mln ) 2005	1
first quarter underlying operating profit rose 41 mln eur 33 mln year earlier	1
`` first nine months 2010 company 's net profit rose eur41m eur30m corresponding period 2009 ''	1
`` helsinki ( afx ) - retail wholesale group kesko reported net sales 659.4 mln eur february increase 10.8 pct year-on-year ''	1
`` however net sales 2010 seen grown eur598 .3 eur582 .3 2009 ''	1
`` however sales returned growth april-june 2010 ceo pekka eloholma said ''	1
`` ragutis controlled finnish brewery reported 5.4-per-cent rise beer sales 10.44 million litres held 11.09-per-cent market share ''	1
`` svyturys-utenos alus controlled nordic group baltic beverages holding ( bbh ) posted 4.7-per-cent growth beer sales january-may 46.22 million litres ''	1
`` december alone members lithuanian brewers ' association sold total 20.3 million liters beer increase 1.9 percent sales 19.92 million liters december 2004 ''	1
`` january-september 2009 group 's net interest income increased eur 112.4 mn eur 74.3 mn january-september 2008 ''	1
`` q1 2010 bank +land 's net interest income increased eur 9.1 mn eur 9.7 mn ''	1
`` sweden operating profit period review totaled eur 3.4 mn 30.8 % corresponding period 2005 ''	1
`` fourth quarter 2009 orion 's net profit went 33.8 % year-on-year eur33m ''	1
`` second quarter 2010 group 's net profit rose eur 3.1 million eur 2.5 million april-june 2009 ''	1
`` second quarter 2010 group 's net profit rose eur3 .1 eur2 .5 april-june 2009 ''	1
`` third quarter net sales increased 12 % year-on-year eur 159.5 million 6 % comparable currency rates growth ''	1
`` third quarter net sales increased 12 % year-on-year eur159 .5 6 % comparable currency rates growth ''	1
market share widened 48.51 percent 48.31 percent year earlier	1
`` kesko agro eesti retailer wholesaler grain agricultural warehousing machinery accessories net sales 81 million euros 2007 increase one-tenth preceding year ''	1
`` kesko 's car import retailing business vv-auto saw sales grow 17.1 pct ''	1
kone 's net sales rose 14 % year-on-year first nine months 2008	1
`` ( adp news ) - feb 11 2009 - finnish management software solutions provider ixonos oyj ( hel : xns1v ) said today net profit rose eur 3.5 million ( usd 4.5 ) 2008 eur 3.1 million 2007 ''	1
`` ( adp news ) - feb 12 2009 - finnish solutions provider affecto oyj ( hel : afe1v ) said today net profit rose eur 8.5 million ( usd 11m ) 2008 eur 7 million 2007 ''	1
`` ( adp news ) - feb 6 2009 - finnish fishing tackle company rapala vmc corp ( hel : rap1v ) said today net profit rose eur 19.2 million ( usd 24.6 ) 2008 eur 17.5 million 2007 ''	1
`` ( adp news ) - nov 5 2008 - finnish electronic measurement products solutions maker vaisala oyj ( omx : vaias ) said today net profit rose eur 18 million ( usd 23.1 ) first nine months 2008 eur 1 ''	1
`` ( adp news ) - oct 29 2008 - finnish lifting equipment maker konecranes oyj ( omx : kcr1v ) said today net profit rose eur 116.6 million ( usd 149.1 ) first nine months 2008 eur 73.6 million ''	1
`` metso expects net sales increase 10 % 2008 comparable exchange rates ''	1
net interest income increased 4.5 % eur 31.4 mn eur 30.0 mn 2004	1
`` net interest income eur 152.2 mn eur 101.0 mn 2008 ''	1
`` net interest income eur 39.3 mn eur 32.7 mn ''	1
net sales vegetable oil business rose eur 10.6 mn eur 10.1 mn	1
`` nokia multimedia 's net sales totaled eur 5.7 bn 45 % corresponding period 2005 ''	1
operating income rose eur 696.4 mn eur 600.3 mn 2009	1
`` operating profit kauppalehti group rose eur 1.5 mn eur 1.3 mn marketplaces eur 1.3 mn eur 1.0 mn third quarter 2006 ''	1
operating profit rose eur 1.94 mn eur 2.45 mn	1
operating profit rose 22.1 mln eur 19.9 mln	1
operating profit rose eur 1.6 mn eur 1.1 mn corresponding period 2006	1
operating profit rose eur 103.4 mn eur 23.2 corresponding period 2006	1
operating profit rose eur 13.5 mn eur 9.7 mn corresponding period 2006	1
operating profit rose eur 26.7 mn eur 14.9 mn corresponding period 2006	1
operating profit rose eur 27.8 mn eur 17.5 mn 2008	1
operating profit rose eur 3.2 mn eur 1.0 mn corresponding period 2008	1
operating profit rose eur 4.7 mn eur 3.6 mn	1
operating profit rose eur 4.7 mn eur 4.6 mn	1
operating profit rose eur 9.2 mn eur 6.8 mn corresponding period 2007	1
operating profit rose eur2 .4 eur1 .6 year earlier	1
`` operating profit surged eur21m eur106 ,000 ''	1
`` operating profit totaled eur 37,7 mn slightly eur 37.2 mn corresponding period 2006 ''	1
`` operating profit totaled eur 5.5 mn eur -0.7 mn ''	1
`` operating profit eur 11.4 mn eur 7.5 mn ''	1
`` operating profit eur 139.7 mn 23 % eur 113.8 mn ''	1
`` order intake grew 40 % year-on-year 30 % year-on-year respectively eur 576 million eur 1.7 billion respective january-september july-september 2010 periods ''	1
orders received grew 55 % year-on-year eur732m	1
orion pharma 's operating profit increased 42.5 % 2004	1
passenger volumes rose 8.4 % accounting period	1
passenger-related revenue rose 5.1 % eur 460.8 mn eur 438.5 mn 2009	1
pretax profit rose eur 0.6 mn eur 0.4 mn corresponding period 2005	1
`` pretax profit rose eur 1,019 mn eur 1,007 corresponding period 2005 ''	1
pretax profit rose eur 17.8 mn eur 14.9 mn 2005	1
`` pre-tax profit totaled eur 397.4 mn eur 164.7 mn ''	1
`` profit period totaled eur 39.4 mn eur 33.9 mn corresponding period 2006 ''	1
`` profit period eur 5.9 mn eur 1.3 mn ''	1
`` profit period eur 9.8 mn eur 6.0 mn 2004 ''	1
revenue grew 12 percent ( x20ac ) 3.6 billion ( us $ 4.5 billion )	1
`` revenue july september grew 14 percent ( euro ) 467 million year earlier company said thursday ''	1
revenues time grew 14 percent 43 million euros	1
`` sales latin america increased 42 % eur 432mn total 8.7 mn mobile devices sold area representing increase 32 % corresponding period 2009 ''	1
sanoma magazines finland 's net sales grew eur 140.1 mn eur 131.8 mn	1
`` satama 's net profit third quarter 2007 rose 275,000 euro ( $ 395,000 ) 270,000 euro ( $ 388,000 ) period 2006 ''	1
`` section : regional news - demand finnair 's asian traffic measured passenger kilometers 34.9 % august compare last year ''	1
`` svyturys-utenos alus controlled nordic group baltic beverages holding ( bbh ) posted 6.1 percent growth beer sales january-september 101.99 million liters ''	1
would increase estimated sales 117 million last year	1
`` chain posted sales 298 million euros full 2005 rise 19.5 percent year-on-year ''	1
company expects net sales 2008 increase 5-10 % 2007	1
`` company 's operating income ( ebit ) totalled eur 0.0 mn eur -0.3 mn year-on-year ''	1
eps outlook increased 5.6 pct 2007 7.0 pct 2008	1
`` fair value investment properties totaled eur 2,534.9 mn eur 2,455.1 mn 2006 ''	1
`` finnish government announced wednesday sold 32 percent stake chemicals fertilizer group kemira oyj ( x20ac ) 655.6 million ( $ 890us million ) sending company 's share price 6 percent ''	1
`` helsinki-based company also owns salomon atomic suunto brands said net profit rose 15 percent three months dec. 31 ( x20ac ) 47 million ( $ 61us million ) ( x20ac ) 40.8 million year earlier ''	1
operating profit grain trading increased eur 2.0 mn eur 1.4 mn 2005	1
stock rose second day wednesday bringing two-day rise gbx12 .0 2.0 %	1
stock rose third day tuesday bringing three-day rise gbx10 .50 1.8 %	1
transactions would increase earnings per share first quarter eur0 .28	1
total operating revenue grew 27.6 % year-on-year eur61m	1
vacon 's cash flow operations grew eur 37.1 mn eur 21.9 mn year ago	1
`` `` basware 's product sales grew strongly financial period 24 percent ''	1
1 february 2011 - finnish textile clothing company marimekko oyj hel : mmo1v said today preliminary operating profit grew eur8 .2 2010 eur6 .3 2009	1
affecto expects net sales whole 2010 increase 2009 level reached eur 103 million	1
cash flow operations rose eur 52.7 mn eur 15.6 mn 2007	1
commission income rose 25.7 % eur 16.1 mn eur 12.8 mn 2004	1
`` earnings per share january-june 2010 eur0 .30 increase 20 % year-on-year eur0 .25 ''	1
earnings per share eps rose eur 0.11 eur 0.03	1
`` elisa said mobile subscriptions grew 7 percent 2007 mainly customers adopting so-called third generation mobile technology ''	1
`` eps quarter came 0.36 eur 0.33 eur year ago ahead forecast 0.33 eur ''	1
eps grew 0.04 eur 0.02 eur	1
exports grew 16.5 percent 19.1 million liters	1
`` finnish investment group panostaja oyj said net profit went 8.6 mln euro $ 11.4 mln fiscal 2005-06 ended october 31 2006 2.8 mln euro $ 3.7 mln period fiscal 2004-05 ''	1
finnish metal components supplier componenta oyj said net profit went 3.5 mln euro $ 4.5 mln 2006 2.2 mln euro $ 2.8 mln 2005	1
`` finnish silicon wafer technology company okmetic oyj omx helsinki : okm1v reported thursday 30 october operating profit eur7 .4 january-september 2008 eur6 .1 corresponding period 2007 ''	1
`` fiskars brands report net sales eur 145.8 mn eur 138.4 mn ''	1
`` however proportion paid standing orders grew 2009 ''	1
`` january-september 2007 group 's net sales continuing operations rose eur 213.1 mn eur 172.6 mn corresponding period 2006 ''	1
`` july-september 2008 yit 's net sales increased eur 970.8 mn compared eur 906.8 mn corresponding period 2007 ''	1
`` reporting period net sales rose 8 % year-on-year eur64 .3 due business acquisitions realized first half 2008-09 effect eur10 .9 review period ''	1
`` reporting period company 's operating profit grew 43.2 % eur 6 million ''	1
last year 's net sales rose eur 68.3 million eur 62.2 million	1
`` last year company raised turnover approximately 7 million litas eur 2 mln 6.1 million litas 2004 ''	1
marimekko group 's full-year net sales estimated increase 10 %	1
net sales surged 30 % eur 36 million	1
`` nevertheless market share rose 49.14 percent 48.51 percent year earlier ''	1
`` october-december sales 302 mln eur 25.3 pct increase year year ''	1
`` olvi controls 94 percent stake ragutis a. le coq said annual report published earlier year lithuanian brewery 's sales reached 15.04 million euros last year rise 20.4 percent 12.49 million euros 2004 ''	1
olvi expects sales market share increase first quarter 2010	1
operating profit increased eur 14.0 mn eur 4.9 mn corresponding period 2005	1
operating profit asian plants grew markedly	1
`` operating profit totaled eur 825mn eur 763mn 2004 ''	1
`` operating profit totalled eur 83.0 mn eur 23.5 mn year-on-year ''	1
production capacity increase 36 000 85 000 tonnes per year raw material continue recycled paper board	1
profit period increased eur 2.9 mn eur 10.5 mn	1
`` profit per share eur 1.03 eur 0.87 ''	1
return capital employed rose 4.8 percentage points 19.6 %	1
`` revenue july september grew 21 percent euro 2.3 billion finnish company said thursday ''	1
revenue grew 1 percent euro742 .2 million us $ 964 million euro735 million	1
ruukki 's order book end 2010 30 % year-on-year 10 % quarter-on-quarter	1
sales finland rose 3.9 % international growth 0.7 %	1
sales security system packaging increased slightly	1
stora enso 's third-quarter pre-tax profit doubled eur 197mn	1
company 's market share continued increase	1
`` company 's scheduled traffic measured revenue passenger kilometres rpk grew 2 % nearly 3 % passengers carried scheduled flights february 2009 ''	1
`` disposal autotank also strengthen aspo 's capital structure `` commented gustav nyberg ceo aspo ''	1
`` earnings per share quarter came 0.25 eur 0.20 eur quarter year earlier ''	1
economic occupancy rate sponda 's property portfolio rose 91.2 % 88.8 % 2006	1
group 's 12-month operating profit grew 31 percent 337.8 million euros	1
growth net sales first half 2008 28 % compared first half 2007	1
pretax profit group 's life insurance business increased eur 36 million eur 27 million	1
pretax profit group 's life insurance business increased eur36m eur27m	1
`` total delivery volume paper businesses 2010 1,155,000 tonnes 1,132,000 tonnes 2009 ''	1
value firm 's forestry holdings increased sek 3.6 bn	1
turnover rose eur21m eur17m	1
finnish talvivaara mining co hel : tlv1v said thursday picked bofa merrill lynch jpmorgan nyse : jpm joint bookrunners planned issue convertible notes worth eur250m usd332m	0
`` mall part baltic pearl development project city st petersburg baltic pearl cjsc subsidiary shanghai foreign joint investment company developing homes 35,000 people ''	0
vacon controls 5 % company via investment fund power fund i. eur 1.0 = usd 1.397	0
4 ) complete name shareholder : otto henrik bernhard nyberg 5 ) information : amount shares transferred corresponds 5.68 % total number shares aspo plc	0
`` data processing unit collects data calculates rvr values provides data users via various interfaces ''	0
`` german commerzbank ag 's hamburg branch us jp morgan ( nyse : jpm ) participated arrangers dutch ing ( ams : inga ) co-arranger ''	0
increase number shares based option rights granted management company stock option plan 2006	0
30 offices worldwide 90 pct net sales generated outside finland	0
has80 branches finland annual revenue finland	0
nokia messaging 1.1 enables customers receive e-mails 10 e-mail accounts mobile phone supporting pop imap e-mail services	0
share repurchase 11.01.2008 helsinki stock exchange behalf sampo plc danske bank a-s helsinki branch	0
`` contract value amounts eur11m company added ''	0
aldata said still number operational aspects defined microsoft details product market initiatives resulting agreement available later date	0
`` alexandria va. may 16 -- kenneth bower vista calif. developed ornamental design handset u.s. patent & trademark office announced ''	0
`` biohit oyj develops manufactures markets liquid handling products diagnostic test systems use research healthcare industrial laboratories ''	0
`` mr ashley deputy executive chairman sports direct sold 43pc stake company pounds 900m time float ''	0
rental building equipment accounted 88 percent operating income	0
`` ruukki 's delivery includes steel structures including installation krakeroy bascule bridge steel piles bridge foundations ''	0
stockmann established 1862 finland became first foreign company enter russia 's retail trade market 1989	0
`` broad-based wig index ended thursday 's session 0.1 pct 65,003.34 pts blue-chip wig20 1.13 3,687.15 pts ''	0
business divested generates consolidated net sales eur 60 million annually currently 640 employees	0
`` company generates net sales 600 mln euro $ 775.5 mln annually employs 6,000 ''	0
`` contract covers manufacturing surface-treatment installation steel structures ''	0
order also includes start-up commissioning services	0
phones targeted first time users growth markets	0
tielinja generated net sales 7.5 mln euro $ 9.6 mln 2005	0
`` tikkurila powder coatings 50 employees four paint plants generated revenues eur2 .4 usd3 .3 2010 ''	0
`` rental agreement stockmann committed invest building bridge gogol street build underground tunnel crossing street 2004 ''	0
vnh generates annual net sales 5 mln eur employs 21 people	0
`` jan. 6 -- ford struggling face slowing truck suv sales surfeit up-to-date got ta -have cars ''	2
pharmaceuticals group orion corp reported fall third-quarter earnings hit larger expenditures r & marketing	2
`` however growth margin slowed due financial crisis ''	2
`` helsinki ( afx ) - nokian tyres reported fourth quarter pretax profit 61.5 mln eur 48.6 mln back strong sales ''	1
`` kalnapilio-tauro grupe ( kalnapilis-tauras group ) owned denmark 's royal unibrew raised market share 25.18 percent 23.74 percent beer sales seven months jumped 14.5 percent 40.5 million liters ''	1
company estimates net sales 2010 increase considerably 2009 operating result clearly positive	1
`` uponor made operating profit eur 151.0 mn eur 143.7 mn made 2007 record year ''	1
`` basware corporation stock exchange release august 31 2010 16:25 basware signed large deal international industrial group basware deliver invoice automation solution connectivity services international industrial group ''	1
estimates operating profit improve third quarter	1
ruukki forecast 15-20 % annual sales growth positive pretax result 2010	1
sales rose 10 pct 566 mln eur back strong volume favourable currency effects	1
growth net sales continued favourably middle east africaand asia pacific	1
appointment kaupthing bank aims co-ordinate capital markets activities within group improve overall service clients	1
`` following increase huhtamaki 's registered share capital eur360 .62 number shares outstanding 106,063,320 ''	0
`` helsinki october 22 2008 ssh communications security corp board directors information please contact : tomi laamanen chairman tel +358 0 400 609 544 distribution : nasdaq omx helsinki ltd ''	0
`` offer 30 million shares aimed raise x20ac 500 million us $ 640 million expected completed oct. 9 outokumpu said ''	0
`` theodosopoulos said tellabs could value nokia siemens nortel given `` leading supply status `` verizon along high-growth products ''	1
`` succeeded increasing market share sold apartment `` comments mr kari kauniskangas head yit international construction services ''	1
`` capman partner able develop business continue focus providing quality restaurant services customers `` says christopher wynne ceo papa john 's russia ''	1
`` finnish suominen corporation specialises wet wipes nonwovens flexible packaging reports net sales eur 44.1 mn second quarter 2010 eur 43.3 mn second quarter 2009 ''	1
`` finnish telecoms software developer tecnomen oyj said december 5 2006 $ 3.3 mln ( 2.5 mln euro ) order supply expansion charging messaging systems mobile fixed networks brasil telecom ''	1
`` ( adp news ) - dec 11 2008 - finnish construction engineering company outotec oyj ( omx : ote1v ) said today eur 28 million ( usd 36.8 ) order expand phosphate concentrator siilinjarvi norwegian minera ''	1
bank sees potential getinge share rise	1
`` company recorded revenues e658 .1 million fiscal year ended december 2007 increase 23 % 2006 ''	1
